Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
FLKV,Kissimmee Valley,28.2062,-81.3936,5640,210.8411,"HC, ",QN
FLEC,Econlockhatchee,28.7094,-81.1467,950,6.6318,"HC, ",
MOTC,Taney County,36.6070,-93.1830,715,11.0000,,
FLVE,Venice-Englewood,27.0048,-82.3793,710,5.6800,"HC, ",
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,690,8.1416,,
TXFR,Freeport,29.0172,-95.3551,625,2.0833,,
FLWV,West Volusia County,29.0543,-81.3039,610,9.5686,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,580,4.3527,,
TXLG,Longview,32.3765,-94.7162,579,5.5012,"HC, ",
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,570,5.3521,,
CRLM,"Fila Costera (la Merced), Costa Rica",9.1404,-83.4639,562,2.7482,,
TXMM,Matagorda County-Mad Island Marsh,28.6926,-95.9975,555,1.7156,"HC, ",
TXNB,New Braunfels,29.7035,-98.1249,554,7.4865,"HC, ",
FLFK,Fakahatchee,26.1486,-81.4535,535,7.0627,"HC, ",
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,530,3.4868,,
TXPM,Palmetto S.P.,29.5833,-97.5833,520,6.6032,,
FLSB,South Brevard County,27.8486,-80.5500,500,5.1282,,
TXWA,Waco,31.5194,-97.0451,476,8.3509,,
TXAU,Austin,30.1834,-97.6980,456,0.8136,,
MDPL,Point Lookout,38.1061,-76.4212,455,8.7081,,
TXST,San Antonio,29.3148,-98.6080,447,2.2604,,
FLCO,Cocoa,28.3622,-80.7026,430,3.0935,,
TXLK,Lake Tawakoni,32.7667,-95.9167,420,12.7273,,
TXFW,Fort Worth,32.7661,-97.4715,420,2.8669,,
TXBF,Buffalo Bayou,29.7715,-95.5699,404,2.6023,,
FLLP,Lake Placid,27.2601,-81.3441,400,4.4444,,
FLAP,Avon Park A.F. Range,27.6501,-81.2896,400,4.0816,,
TXTN,Trinity River,30.2860,-94.9800,389,8.2766,"HC, ",
TXCP,Chaparral W.M.A.,28.3609,-99.3429,362,5.2464,"HC, ",
MXAL,"Alamos, Sonora, Mexico",27.0000,-108.9000,359,8.1591,,
FLWR,Wekiva River,28.7863,-81.3679,340,3.8202,,
VANS,Northern Shenandoah Valley,39.0501,-78.1667,331,1.7513,,
TXBO,Boerne,29.8666,-98.7901,325,3.7356,,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,308,1.8498,,
FLBA,Bradenton,27.5010,-82.5631,290,2.9744,,
CRGR,"Grecia, Costa Rica",10.0667,-84.3167,285,0.0000,,
TXKI,Kingsville,27.4658,-97.8551,282,3.8367,"HC, ",
TXBN,Burnet County,30.7514,-98.2750,277,3.4198,,
LABR,Baton Rouge,30.3661,-91.1194,276,1.6778,,
FLLA,Lakeland,28.0261,-81.8507,275,2.2727,,
TXSG,San Angelo,31.4439,-100.4823,269,4.1868,"HC, ",
FLMR,Myakka River S.P.,27.2330,-82.2360,265,3.9259,,
CRRF,"Rainforest Adventures Atlantic, Costa Rica",10.1202,-83.5125,258,1.0661,,
TXCR,Crawford,31.5560,-97.3556,254,3.4914,"HC, ",
