verbatim_name,verbatim_aphia_id,accepted_name,aphia_id,SpecCode,kingdom,phylum,class,order,family,genus,rank
ALOSA PSEUDOHARENGUS,NA,Alosa pseudoharengus,158669,1583,Animalia,Chordata,Teleostei,Clupeiformes,Alosidae,Alosa,Species
BREVOORTIA TYRANNUS,NA,Brevoortia tyrannus,158691,1592,Animalia,Chordata,Teleostei,Clupeiformes,Alosidae,Brevoortia,Species
CLUPEA HARENGUS,NA,Clupea harengus,126417,24,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Clupea,Species
GADUS MORHUA,NA,Gadus morhua,126436,69,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,Species
LEUCORAJA ERINACEA,NA,Leucoraja erinaceus,1577339,2557,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Leucoraja,Species
LIMANDA FERRUGINEA,NA,Myzopsetta ferruginea,1571969,521,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Limanda,Species
LOPHIUS AMERICANUS,NA,Lophius americanus,159184,532,Animalia,Chordata,Teleostei,Lophiiformes,Lophiidae,Lophius,Species
MERLUCCIUS BILINEARIS,NA,Merluccius bilinearis,158962,323,Animalia,Chordata,Teleostei,Gadiformes,Merlucciidae,Merluccius,Species
PEPRILUS TRIACANTHUS,NA,Peprilus triacanthus,159828,492,Animalia,Chordata,Teleostei,Scombriformes,Stromateidae,Peprilus,Species
PSEUDOPLEURONECTES AMERICANUS,NA,Pseudopleuronectes americanus,158885,524,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pseudopleuronectes,Species
SCOPHTHALMUS AQUOSUS,NA,Scophthalmus aquosus,158907,530,Animalia,Chordata,Teleostei,Pleuronectiformes,Scophthalmidae,Scophthalmus,Species
SQUALUS ACANTHIAS,NA,Squalus acanthias,105923,139,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Species
UROPHYCIS CHUSS,NA,Urophycis chuss,126503,312,Animalia,Chordata,Teleostei,Gadiformes,Phycidae,Urophycis,Species
DIPTURUS LAEVIS,NA,Dipturus laevis,158548,2561,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Dipturus,Species
HIPPOGLOSSOIDES PLATESSOIDES,NA,Hippoglossoides platessoides,127137,4239,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Species
LEUCORAJA OCELLATA,NA,Leucoraja ocellata,158553,2562,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Leucoraja,Species
MYOXOCEPHALUS OCTODECEMSPINOSUS,NA,Myoxocephalus octodecemspinosus,159520,4120,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Myoxocephalus,Species
PARALICHTHYS OBLONGUS,NA,Hippoglossina oblonga,158833,4229,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Paralichthys,Species
PRIONOTUS CAROLINUS,NA,Prionotus carolinus,159571,1243,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Prionotus,Species
TAUTOGOLABRUS ADSPERSUS,NA,Tautogolabrus adspersus,159785,3672,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Tautogolabrus,Species
HEMITRIPTERUS AMERICANUS,NA,Hemitripterus americanus,159518,4097,Animalia,Chordata,Teleostei,Perciformes,Hemitripteridae,Hemitripterus,Species
MACROZOARCES AMERICANUS,NA,Zoarces americanus,159267,480,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Macrozoarces,Species
STENOTOMUS CHRYSOPS,NA,Stenotomus chrysops,159811,452,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Stenotomus,Species
TAUTOGA ONITIS,NA,Tautoga onitis,158830,458,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Tautoga,Species
ALOSA SAPIDISSIMA,NA,Alosa sapidissima,158670,1584,Animalia,Chordata,Teleostei,Clupeiformes,Alosidae,Alosa,Species
SCOMBER SCOMBRUS,NA,Scomber scombrus,127023,118,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Scomber,Species
CENTROPRISTIS STRIATA,NA,Centropristis striata,159348,361,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Centropristis,Species
