year,Method,lat_position,term,estimate,std.error,statistic,p.value,conditional_sd,sig,Edge,Species
1972,Most Distal Point,39.85,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
1972,Mean of Most Distal Points,40.09444466666667,year,0.007436097155883561,0.008747530371255188,0.8500796042182305,0.3996838554866825,0.8219032936497768,no,Equatorward,Urophycis tenuis
1972,Weighted Mean of Most Distal Points,40.26904792857143,year,0.004119267121443911,0.00860938226372909,0.4784625650551241,0.6345873466011798,0.8089231289897835,no,Equatorward,Urophycis tenuis
1972,0.10 Quantile,41.833333,year,0.008589532549934935,0.003599820876581511,2.3860999878671163,0.021199844151114002,0.3382331366043617,yes,Equatorward,Urophycis tenuis
1972,0.05 Quantile,40.95,year,0.014610113254450965,0.004576684415013436,3.192292045858284,0.0025459991058464737,0.4300175975445506,yes,Equatorward,Urophycis tenuis
1972,0.01 Quantile,40.316667,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
1973,Most Distal Point,39.983333,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
1973,Mean of Most Distal Points,40.461111,year,0.007436097155883561,0.008747530371255188,0.8500796042182305,0.3996838554866825,0.8219032936497768,no,Equatorward,Urophycis tenuis
1973,Weighted Mean of Most Distal Points,40.364285571428574,year,0.004119267121443911,0.00860938226372909,0.4784625650551241,0.6345873466011798,0.8089231289897835,no,Equatorward,Urophycis tenuis
1973,0.10 Quantile,41.8,year,0.008589532549934935,0.003599820876581511,2.3860999878671163,0.021199844151114002,0.3382331366043617,yes,Equatorward,Urophycis tenuis
1973,0.05 Quantile,41.716667,year,0.014610113254450965,0.004576684415013436,3.192292045858284,0.0025459991058464737,0.4300175975445506,yes,Equatorward,Urophycis tenuis
1973,0.01 Quantile,41.166667,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
1974,Most Distal Point,40.05,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
1974,Mean of Most Distal Points,40.244444333333334,year,0.007436097155883561,0.008747530371255188,0.8500796042182305,0.3996838554866825,0.8219032936497768,no,Equatorward,Urophycis tenuis
1974,Weighted Mean of Most Distal Points,40.122916625,year,0.004119267121443911,0.00860938226372909,0.4784625650551241,0.6345873466011798,0.8089231289897835,no,Equatorward,Urophycis tenuis
1974,0.10 Quantile,41.4,year,0.008589532549934935,0.003599820876581511,2.3860999878671163,0.021199844151114002,0.3382331366043617,yes,Equatorward,Urophycis tenuis
1974,0.05 Quantile,40.85,year,0.014610113254450965,0.004576684415013436,3.192292045858284,0.0025459991058464737,0.4300175975445506,yes,Equatorward,Urophycis tenuis
1974,0.01 Quantile,40.333333,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
1975,Most Distal Point,40.166667,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
1975,Mean of Most Distal Points,40.244444666666666,year,0.007436097155883561,0.008747530371255188,0.8500796042182305,0.3996838554866825,0.8219032936497768,no,Equatorward,Urophycis tenuis
1975,Weighted Mean of Most Distal Points,40.244444666666666,year,0.004119267121443911,0.00860938226372909,0.4784625650551241,0.6345873466011798,0.8089231289897835,no,Equatorward,Urophycis tenuis
1975,0.10 Quantile,41.666667,year,0.008589532549934935,0.003599820876581511,2.3860999878671163,0.021199844151114002,0.3382331366043617,yes,Equatorward,Urophycis tenuis
